Name,Weight,label
apple_fuji_L_10-100,335,특
apple_fuji_L_10-101,335,특
apple_fuji_L_10-102,335,특
apple_fuji_L_10-103,335,특
apple_fuji_L_10-104,335,특
apple_fuji_L_10-105,335,특
apple_fuji_L_10-106,335,특
apple_fuji_L_10-107,335,특
apple_fuji_L_10-108,335,특
apple_fuji_L_10-121,335,특
apple_fuji_L_10-122,335,특
apple_fuji_L_10-123,335,특
apple_fuji_L_10-124,335,특
apple_fuji_L_10-125,335,특
apple_fuji_L_10-126,335,특
apple_fuji_L_10-127,335,특
apple_fuji_L_10-128,335,특
apple_fuji_L_10-129,335,특
apple_fuji_L_10-130,335,특
apple_fuji_L_10-131,335,특
apple_fuji_L_10-132,335,특
apple_fuji_L_10-133,335,특
apple_fuji_L_10-134,335,특
apple_fuji_L_10-135,335,특
apple_fuji_L_10-136,335,특
apple_fuji_L_10-137,335,특
apple_fuji_L_10-138,335,특
apple_fuji_L_10-139,335,특
apple_fuji_L_10-140,335,특
apple_fuji_L_10-141,335,특
apple_fuji_L_10-142,335,특
apple_fuji_L_10-143,335,특
apple_fuji_L_10-144,335,특
apple_fuji_L_10-25,335,특
apple_fuji_L_10-26,335,특
apple_fuji_L_10-27,335,특
apple_fuji_L_10-28,335,특
apple_fuji_L_10-29,335,특
apple_fuji_L_10-30,335,특
apple_fuji_L_10-31,335,특
apple_fuji_L_10-32,335,특
apple_fuji_L_10-33,335,특
apple_fuji_L_10-34,335,특
apple_fuji_L_10-35,335,특
apple_fuji_L_10-36,335,특
apple_fuji_L_10-49,335,특
apple_fuji_L_10-50,335,특
apple_fuji_L_10-51,335,특
apple_fuji_L_10-52,335,특
apple_fuji_L_10-53,335,특
apple_fuji_L_10-54,335,특
apple_fuji_L_10-55,335,특
apple_fuji_L_10-56,335,특
apple_fuji_L_10-57,335,특
apple_fuji_L_10-58,335,특
apple_fuji_L_10-59,335,특
apple_fuji_L_10-60,335,특
apple_fuji_L_10-61,335,특
apple_fuji_L_10-62,335,특
apple_fuji_L_10-63,335,특
apple_fuji_L_10-64,335,특
apple_fuji_L_10-65,335,특
apple_fuji_L_10-66,335,특
apple_fuji_L_10-67,335,특
apple_fuji_L_10-68,335,특
apple_fuji_L_10-69,335,특
apple_fuji_L_10-70,335,특
apple_fuji_L_10-71,335,특
apple_fuji_L_10-72,335,특
apple_fuji_L_10-97,335,특
apple_fuji_L_10-98,335,특
apple_fuji_L_10-99,335,특
apple_fuji_L_11-100,375,특
apple_fuji_L_11-101,375,특
apple_fuji_L_11-102,375,특
apple_fuji_L_11-103,375,특
apple_fuji_L_11-104,375,특
apple_fuji_L_11-105,375,특
apple_fuji_L_11-106,375,특
apple_fuji_L_11-107,375,특
apple_fuji_L_11-108,375,특
apple_fuji_L_11-121,375,특
apple_fuji_L_11-122,375,특
apple_fuji_L_11-123,375,특
apple_fuji_L_11-124,375,특
apple_fuji_L_11-125,375,특
apple_fuji_L_11-126,375,특
apple_fuji_L_11-127,375,특
apple_fuji_L_11-128,375,특
apple_fuji_L_11-129,375,특
apple_fuji_L_11-130,375,특
apple_fuji_L_11-131,375,특
apple_fuji_L_11-132,375,특
apple_fuji_L_11-133,375,특
apple_fuji_L_11-134,375,특
apple_fuji_L_11-135,375,특
apple_fuji_L_11-136,375,특
apple_fuji_L_11-137,375,특
apple_fuji_L_11-138,375,특
apple_fuji_L_11-139,375,특
apple_fuji_L_11-140,375,특
apple_fuji_L_11-141,375,특
apple_fuji_L_11-142,375,특
apple_fuji_L_11-143,375,특
apple_fuji_L_11-144,375,특
apple_fuji_L_11-25,375,특
apple_fuji_L_11-26,375,특
apple_fuji_L_11-27,375,특
apple_fuji_L_11-28,375,특
apple_fuji_L_11-29,375,특
apple_fuji_L_11-30,375,특
apple_fuji_L_11-31,375,특
apple_fuji_L_11-32,375,특
apple_fuji_L_11-33,375,특
apple_fuji_L_11-34,375,특
apple_fuji_L_11-35,375,특
apple_fuji_L_11-36,375,특
apple_fuji_L_11-49,375,특
apple_fuji_L_11-50,375,특
apple_fuji_L_11-51,375,특
apple_fuji_L_11-52,375,특
apple_fuji_L_11-53,375,특
